,time,Real Lower Band,Real Middle Band,Real Upper Band
0,2018-10-17 12:00,235.3754,274.9912,314.607
1,2018-10-17 11:30,235.5079,275.0929,314.678
2,2018-10-17 11:00,235.5974,275.1702,314.7431
3,2018-10-17 10:30,235.6862,275.2445,314.8027
4,2018-10-17 10:00,235.7472,275.2984,314.8495
5,2018-10-16 16:00,235.7956,275.3447,314.8937
6,2018-10-16 15:30,235.841,275.3911,314.9412
7,2018-10-16 15:00,235.8935,275.4434,314.9932
8,2018-10-16 14:30,235.953,275.4971,315.0412
9,2018-10-16 14:00,236.0192,275.557,315.0948
10,2018-10-16 13:30,236.088,275.6192,315.1505
11,2018-10-16 13:00,236.1797,275.6948,315.2098
12,2018-10-16 12:30,236.2767,275.7718,315.2668
13,2018-10-16 12:00,236.3936,275.8602,315.3267
14,2018-10-16 11:30,236.4978,275.9406,315.3834
15,2018-10-16 11:00,236.6208,276.0339,315.4469
16,2018-10-16 10:30,236.7525,276.1317,315.5109
17,2018-10-16 10:00,236.8906,276.2349,315.5792
18,2018-10-15 16:00,237.0038,276.3245,315.6453
19,2018-10-15 15:30,237.2693,276.4885,315.7078
20,2018-10-15 15:00,237.518,276.6448,315.7716
21,2018-10-15 14:30,237.7434,276.791,315.8385
22,2018-10-15 14:00,237.992,276.9486,315.9052
23,2018-10-15 13:30,238.2587,277.1145,315.9703
24,2018-10-15 13:00,238.5622,277.2978,316.0334
25,2018-10-15 12:30,238.8661,277.4787,316.0913
26,2018-10-15 12:00,239.1815,277.6636,316.1456
27,2018-10-15 11:30,239.53,277.8607,316.1914
28,2018-10-15 11:00,239.8523,278.0468,316.2413
29,2018-10-15 10:30,240.1976,278.242,316.2865
30,2018-10-15 10:00,240.5085,278.4231,316.3377
31,2018-10-12 16:00,240.7715,278.5862,316.401
32,2018-10-12 15:30,241.0601,278.7607,316.4614
33,2018-10-12 15:00,241.3567,278.9406,316.5245
34,2018-10-12 14:30,241.683,279.1312,316.5795
35,2018-10-12 14:00,242.0241,279.3305,316.6369
36,2018-10-12 13:30,242.37,279.5342,316.6984
37,2018-10-12 13:00,242.7201,279.7383,316.7565
38,2018-10-12 12:30,243.0848,279.9465,316.8082
39,2018-10-12 12:00,243.4635,280.1585,316.8536
40,2018-10-12 11:30,243.8142,280.3603,316.9065
41,2018-10-12 11:00,244.1521,280.5577,316.9633
42,2018-10-12 10:30,244.4886,280.7511,317.0136
43,2018-10-12 10:00,244.8304,280.945,317.0596
44,2018-10-11 16:00,245.1269,281.1174,317.108
45,2018-10-11 15:30,245.5653,281.3442,317.123
46,2018-10-11 15:00,246.0084,281.5743,317.1402
47,2018-10-11 14:30,246.4811,281.8133,317.1455
48,2018-10-11 14:00,246.9252,282.0427,317.1601
49,2018-10-11 13:30,247.3595,282.2685,317.1775
50,2018-10-11 13:00,247.7828,282.4897,317.1966
51,2018-10-11 12:30,248.2313,282.7198,317.2083
52,2018-10-11 12:00,248.6394,282.9345,317.2296
53,2018-10-11 11:30,249.0414,283.1512,317.261
54,2018-10-11 11:00,249.4873,283.3848,317.2824
55,2018-10-11 10:30,249.9231,283.6172,317.3112
56,2018-10-11 10:00,250.3235,283.834,317.3444
57,2018-10-10 16:00,250.5376,284.0155,317.4934
58,2018-10-10 15:30,250.7969,284.2171,317.6373
59,2018-10-10 15:00,251.0265,284.4068,317.7871
60,2018-10-10 14:30,251.2696,284.5997,317.9299
61,2018-10-10 14:00,251.4781,284.7864,318.0946
62,2018-10-10 13:30,251.6928,284.9752,318.2575
63,2018-10-10 13:00,251.9536,285.178,318.4024
64,2018-10-10 12:30,252.2647,285.3972,318.5296
65,2018-10-10 12:00,252.5669,285.6009,318.6349
66,2018-10-10 11:30,252.9033,285.8157,318.728
67,2018-10-10 11:00,253.314,286.06,318.8061
68,2018-10-10 10:30,253.6931,286.2987,318.9042
69,2018-10-10 10:00,254.0472,286.5368,319.0265
70,2018-10-09 16:00,254.6237,286.8,318.9763
71,2018-10-09 15:30,254.9082,286.9658,319.0234
72,2018-10-09 15:00,255.2027,287.1365,319.0704
73,2018-10-09 14:30,255.4705,287.2957,319.121
74,2018-10-09 14:00,255.7377,287.4542,319.1707
75,2018-10-09 13:30,255.9873,287.6065,319.2258
76,2018-10-09 13:00,256.2578,287.766,319.2742
77,2018-10-09 12:30,256.5487,287.9315,319.3143
78,2018-10-09 12:00,256.8467,288.0994,319.3521
79,2018-10-09 11:30,257.1332,288.2617,319.3903
80,2018-10-09 11:00,257.4518,288.4358,319.4198
81,2018-10-09 10:30,257.7557,288.6033,319.4509
82,2018-10-09 10:00,258.0741,288.7761,319.4781
